kaikki_sense_id	wordnet_sensekey	method	evidence	provenance
en-interest-en-noun-en:heightened_attention_as_curiosity	involvement%1:09:00::	LINK:2-sig	Sa:j=0.50+Sd:hyp=curiosity+Se:0.692	linker-v0.6:link_table_v0_7.tsv
en-interest-en-noun-en:any_stake_held_by_any_type_of_stakeholder	stake%1:21:02::	LINK:3-sig	Sa:j=0.31+Sb:stake+Sd:hyp=share+Se:0.661	linker-v0.6:link_table_v0_7.tsv
en-outside-en-noun-2i3p8ro0	outside%1:15:00::	LINK:2-sig	Sa:j=0.50+Sd:hyp=surface+Se:0.750	linker-v0.6:link_table_v0_7.tsv
en-outside-en-adj-qXgvZHlh	outside%5:00:00:inaccurate:00	LINK:3-sig	Sa:j=0.44+Sb:away+Sd:topic=baseball+Se:0.800	linker-v0.6:link_table_v0_7.tsv
en-outside-en-adv-E7dgXPoq	outside%4:02:00::	twin-pending	best-cand-twinned;tsv-cefr=A1,A2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-outside-en-adv-en:prison	outside%4:02:00::	twin-pending	best-cand-twinned;tsv-cefr=A1,A2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-outside-en-adv-Ov72E~U1	outside%4:02:00::	twin-pending	best-cand-twinned;tsv-cefr=A1,A2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-outside-en-adv-ezNHpJWx	outside%4:02:00::	twin-pending	best-cand-twinned;tsv-cefr=A1,A2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-call-en-verb-Y2YlczJB	yell%2:32:01::	LINK:2-sig	Sa:j=0.33+Sd:hyp=utter+Se:0.372	linker-v0.6:link_table_v0_7.tsv
en-call-en-noun-Mfj2XZyM	telephone_call%1:10:00::	LINK:2-sig	Sa:j=0.20+Sb:phone,telephone+Se:0.774	linker-v0.6:link_table_v0_7.tsv
en-call-en-noun--ED4sdSH	telephone_call%1:10:00::	LINK:2-sig	Sa:j=0.20+Sb:telephone+Se:0.723	linker-v0.6:link_table_v0_7.tsv
en-call-en-noun-f7fqB9u1	call%1:04:03::	LINK:exact-sensekey+2-sig	Sa:j=0.33+Sd:hyp=visit+Se:0.709	linker-v0.6:link_table_v0_7.tsv
en-address-en-noun-en:description	name_and_address%1:10:00::	LINK:2-sig	Sb:name+Sd:hyp=direction+Se:0.511	linker-v0.6:link_table_v0_7.tsv
en-address-en-verb-Qqx2y1FL	address%2:34:00::	LINK:exact-sensekey+2-sig	Sa:j=0.21+Sd:hyp=apply+Se:0.370	linker-v0.6:link_table_v0_7.tsv
en-address-en-verb-Adz61d8c	address%2:33:00::	LINK:2-sig	Sa:j=0.50+Sd:hyp=direct+Se:0.482	linker-v0.6:link_table_v0_7.tsv
en-address-en-verb-PaXmg6TT	address%2:34:00::	LINK:exact-sensekey+2-sig	Sa:j=0.50+Sd:hyp=apply+Se:0.740	linker-v0.6:link_table_v0_7.tsv
en-run-en-verb-n9BROLz0	run%2:38:01::	LINK:exact-sensekey+2-sig	Sa:j=0.20+Sb:flow+Se:0.515	linker-v0.6:link_table_v0_7.tsv
en-run-en-noun-ozUwhIzj	run%1:04:04::	LINK:judge-v2	short-gloss:Sa:j=0.33+Sd:hyp=trip+judge-v2:idx12:1/1-single:run%1:04:04::	judge-v2:judge_verdicts_v0_7.json:idx12
en-run-en-noun-92J6fKWx	run%1:04:04::	LINK:2-sig	Sa:j=0.67+Sd:hyp=trip+Se:0.712	linker-v0.6:link_table_v0_7.tsv
en-run-en-noun-MVmrwk8X	tally%1:04:01::	LINK:2-sig	Sa:j=0.31+Sd:hyp=score+Se:0.730	linker-v0.6:link_table_v0_7.tsv
en-run-en-noun-UjEESEZo	running_play%1:04:00::	LINK:judge-v2	short-gloss:Sb:play,running+Sd:topic=football+judge-v2:idx11:1/1-single:running_play%1:04:00::	judge-v2:judge_verdicts_v0_7.json:idx11
en-take-en-verb--0l7ftne	take%2:35:00::	twin-pending	best-cand-twinned;tsv-cefr=A1,B1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-take-en-verb-AYhLGbpl	take%2:35:00::	twin-pending	best-cand-twinned;tsv-cefr=A1,B1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-take-en-verb-OyvLcVzE	take%2:40:00::	twin-pending	best-cand-twinned;tsv-cefr=A1,B1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-take-en-verb-Pkf0sHy3	take%2:40:05::	LINK:exact-sensekey+2-sig	Sa:j=0.43+Sb:accept+Se:0.562	linker-v0.6:link_table_v0_7.tsv
en-take-en-verb-NcWIsKBn	take%2:40:05::	LINK:exact-sensekey+2-sig	Sa:j=0.25+Sb:accept+Se:0.521	linker-v0.6:link_table_v0_7.tsv
en-take-en-verb-yjWiLadc	take%2:40:05::	LINK:exact-sensekey+2-sig	Sb:accept+Sd:hyp=acquire+Se:0.452	linker-v0.6:link_table_v0_7.tsv
en-take-en-verb-WuKDMNQH	take%2:35:00::	twin-pending	best-cand-twinned;tsv-cefr=A1,B1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-take-en-verb-zV1qj6xX	take%2:31:01::	LINK:2-sig	Sa:j=0.60+Sb:choose,pick,select+Se:0.602	linker-v0.6:link_table_v0_7.tsv
en-take-en-verb-kbqDzUrh	take%2:31:01::	LINK:2-sig	Sa:j=0.43+Sb:choose,pick,select+Se:0.474	linker-v0.6:link_table_v0_7.tsv
en-take-en-verb-z9eVvWHe	take%2:31:01::	LINK:2-sig	Sa:j=0.33+Sb:choose,pick,select+Se:0.443	linker-v0.6:link_table_v0_7.tsv
en-take-en-verb-jyOaGVU-	take%2:38:10::	LINK:exact-sensekey+2-sig	Sb:convey+Sd:hyp=carry,transport+Se:0.468	linker-v0.6:link_table_v0_7.tsv
en-take-en-verb-v3aahyBm	take%2:38:02::	LINK:exact-sensekey+2-sig	Sa:j=0.29+Sd:hyp=use+Se:0.564	linker-v0.6:link_table_v0_7.tsv
en-take-en-verb-MoF9kOjw	take%2:40:00::	twin-pending	best-cand-twinned;tsv-cefr=A1,B1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-take-en-verb-~fJEYZMg	use_up%2:40:02::	LINK:2-sig	Sa:j=0.33+Sb:occupy,use+Se:0.660	linker-v0.6:link_table_v0_7.tsv
en-take-en-verb-Hrj8-wQL	use_up%2:40:02::	LINK:2-sig	Sa:j=0.29+Sd:hyp=expend+Se:0.516	linker-v0.6:link_table_v0_7.tsv
en-take-en-verb-m-c8tQpW	take%2:40:00::	twin-pending	best-cand-twinned;tsv-cefr=A1,B1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-take-en-verb-Vg2Zyb8N	take%2:35:00::	twin-pending	best-cand-twinned;tsv-cefr=A1,B1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-take-en-verb-g65YBQLR	take%2:35:00::	twin-pending	best-cand-twinned;tsv-cefr=A1,B1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-take-en-verb-u4jdZsli	take%2:35:00::	twin-pending	best-cand-twinned;tsv-cefr=A1,B1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-take-en-verb-MPdpdyZb	take%2:35:00::	twin-pending	best-cand-twinned;tsv-cefr=A1,B1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-take-en-noun-bADLOkGH	yield%1:21:00::	LINK:2-sig	Sb:proceed,taking+Sd:hyp=income+Se:0.532	linker-v0.6:link_table_v0_7.tsv
en-book-en-noun--37BAZGV	leger%1:21:00::	LINK:3-sig	Sa:j=0.40+Sb:account+Sd:hyp=record+Se:0.534	linker-v0.6:link_table_v0_7.tsv
en-book-en-verb-en:reserve	reserve%2:41:00::	LINK:2-sig	Sa:j=0.29+Sb:reserve+Se:0.684	linker-v0.6:link_table_v0_7.tsv
en-book-en-verb-hoaZwz7Y	book%2:41:00::	quarantined-known-false	Sa:j=0.33+Sd:hyp=record+Se:0.437+judge-first	linker-v0.6:QUARANTINE+judge-first
en-bank-en-noun-en:Q22687	depository_financial_institution%1:14:00::	LINK:2-sig	Sa:j=0.23+Sb:financial,institution+Se:0.729	linker-v0.6:link_table_v0_7.tsv
en-bank-en-verb-wW0vlpYf	bank%2:40:01::	LINK:2-sig	Sa:j=0.25+Sd:topic=business+Se:0.565	linker-v0.6:link_table_v0_7.tsv
en-bank-en-verb-ROImcivu	bank%2:35:01::	LINK:2-sig	Sa:j=0.20+Sd:hyp=cover+Se:0.560	linker-v0.6:link_table_v0_7.tsv
en-bank-en-verb-H~fseb66	bank%2:35:00::	LINK:2-sig	Sa:j=0.25+Sd:hyp=enclose+Se:0.396	linker-v0.6:link_table_v0_7.tsv
en-go-en-verb-G5QMu7yK	go_away%2:38:05::	LINK:3-sig	Sa:j=0.20+Sb:away,depart,go away+Sd:hyp=leave+Se:0.707	linker-v0.6:link_table_v0_7.tsv
en-go-en-verb-BOKYVKlX	proceed%2:30:00::	LINK:2-sig	Sa:j=0.33+Sb:proceed+Se:0.574	linker-v0.6:link_table_v0_7.tsv
en-go-en-verb-N~DkGHTt	work%2:35:02::	twin-pending	best-cand-twinned;tsv-cefr=A2,B1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-go-en-verb-06EhKFEt	run%2:42:00::	LINK:2-sig	Sa:j=0.33+Sb:extend+Se:0.619	linker-v0.6:link_table_v0_7.tsv
en-go-en-verb-HwkwWSvY	go%2:30:04::	LINK:2-sig	Sa:j=0.33+Sb:become+Se:0.389	linker-v0.6:link_table_v0_7.tsv
en-go-en-verb-RlxH6wNY	work%2:35:02::	twin-pending	best-cand-twinned;tsv-cefr=A2,B1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-go-en-verb-en:makeasound1	sound%2:39:00::	LINK:2-sig	Sa:j=0.40+Sb:sound+Se:0.567	linker-v0.6:link_table_v0_7.tsv
en-go-en-verb-0a9vTaXr	work%2:35:02::	twin-pending	best-cand-twinned;tsv-cefr=A2,B1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-go-en-noun-en:Q11413	go_game%1:04:00::	LINK:2-sig	Sa:j=0.21+Sb:game+Se:0.570	linker-v0.6:link_table_v0_7.tsv
en-use-en-noun-en:usefulness_or_purpose	use%1:07:00::	LINK:exact-sensekey+2-sig	Sb:purpose+Sd:hyp=usefulness,utility+Se:0.422	linker-v0.6:link_table_v0_7.tsv
en-use-en-noun-rdsL5Wv3	use%1:07:00::	LINK:exact-sensekey+2-sig	Sa:j=0.20+Sb:function,purpose+Se:0.704	linker-v0.6:link_table_v0_7.tsv
en-use-en-verb-CdGea6c~	use%2:34:00::	LINK:2-sig	Sa:j=0.20+Sb:expend+Se:0.595	linker-v0.6:link_table_v0_7.tsv
en-use-en-verb-l5a-LkMC	use%2:34:02::	LINK:2-sig	Sa:j=0.25+Sd:hyp=consume+Se:0.520	linker-v0.6:link_table_v0_7.tsv
en-execution-en-noun-5S9CrvtO	execution%1:04:00::	LINK:2-sig	Sa:j=0.25+Sb:death,penalty+Se:0.560	linker-v0.6:link_table_v0_7.tsv
en-execution-en-noun-~SLlh~OF	instruction_execution%1:22:00::	LINK:2-sig	Sa:j=0.43+Sb:instruction+Se:0.773	linker-v0.6:link_table_v0_7.tsv
en-get-en-verb-tlATRxFq	get%2:40:00::	LINK:judge-v2	short-gloss:Sa:j=0.25+Sb:obtain,receive+judge-v2:idx7:3/3:get%2:40:00::	judge-v2:judge_verdicts_v0_7.json:idx7
en-get-en-verb-cjiL17Ke	get%2:35:03::	LINK:exact-sensekey+2-sig	Sa:j=0.40+Sb:bring,fetch+Se:0.725	linker-v0.6:link_table_v0_7.tsv
en-get-en-verb-YLGk8-sY	get%2:35:03::	LINK:exact-sensekey+2-sig	Sa:j=0.20+Sb:bring+Se:0.209	linker-v0.6:link_table_v0_7.tsv
en-well-en-adv-CI~jhEsW	well%4:02:00::	LINK:exact-sensekey+2-sig	Sc:good+Sd:topic=manner+Se:0.376	linker-v0.6:link_table_v0_7.tsv
en-catfish-en-noun-en:Q59576	siluriform_fish%1:05:00::	LINK:2-sig	Sa:j=0.22+Sb:fish+Se:0.683	linker-v0.6:link_table_v0_7.tsv
en-lie-en-verb-en:to_rest	lie%2:35:00::	twin-pending	best-cand-twinned;tsv-cefr=A2,B1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-lie-en-verb-eGP-ro07	lie_in%2:42:00::	LINK:2-sig	Sb:consist+Sd:hyp=exist+Se:0.305	linker-v0.6:link_table_v0_7.tsv
en-lie-en-noun-HVbhOtZ0	lie%1:15:00::	LINK:2-sig	Sa:j=0.33+Sd:hyp=position+Se:0.779	linker-v0.6:link_table_v0_7.tsv
en-lie-en-noun-en:intentional_falsehood	prevarication%1:10:00::	LINK:2-sig	Sb:prevarication+Sd:hyp=falsehood+Se:0.601	linker-v0.6:link_table_v0_7.tsv
en-lead-en-noun-en:Q708	pb%1:27:00::	LINK:2-sig	Sb:atomic,number,pb+Sd:hyp=metal+Se:0.669	linker-v0.6:link_table_v0_7.tsv
en-lead-en-verb--kPTJ0xy	lead%2:38:00::	LINK:exact-sensekey+2-sig	Sb:head+Sd:hyp=precede+Se:0.632	linker-v0.6:link_table_v0_7.tsv
en-lead-en-noun-QXhXJZ3q	star%1:18:00::	LINK:2-sig	Sa:j=0.50+Sd:hyp=actor+Se:0.787	linker-v0.6:link_table_v0_7.tsv
en-light-en-noun-en:Q12969754	-	MANUAL-NONE	owner-locked:E1-any-wavelength-neq-visible+was-LINK:visible_radiation%1:19:00::	owner-manual:integrate_v0_7.py
en-light-en-noun-en:source_of_illumination	light_source%1:06:00::	LINK:judge-v2	short-gloss:Sa:j=0.50+Sb:source+judge-v2:idx10:3/3:light_source%1:06:00::	judge-v2:judge_verdicts_v0_7.json:idx10
en-light-en-noun-en:source_of_illumination1	light_source%1:06:00::	LINK:2-sig	Sa:j=0.27+Sb:source+Se:0.677	linker-v0.6:link_table_v0_7.tsv
en-light-en-noun-en:source_of_illumination1	lighting%1:26:00::	LINK:2-sig	Sa:j=0.25+Sd:hyp=illumination+Se:0.537	linker-v0.6:link_table_v0_7.tsv
en-light-en-noun-en:enlightenment	light%1:26:01::	LINK:2-sig	Sa:j=0.22+Sb:illumination+Se:0.706	linker-v0.6:link_table_v0_7.tsv
en-light-en-verb-xd5FzPt6	light%2:43:00::	LINK:exact-sensekey+2-sig	Sa:j=0.29+Sb:ignite+Se:0.545	linker-v0.6:link_table_v0_7.tsv
en-light-en-verb-KkgeJMwP	light_up%2:30:00::	LINK:2-sig	Sb:illume,illuminate,illumine,light up+Sc:lighten+Se:0.680	linker-v0.6:link_table_v0_7.tsv
en-present-en-noun-XB8M4CMf	present%1:28:00::	LINK:2-sig	Sa:j=0.33+Sd:hyp=time+Se:0.696	linker-v0.6:link_table_v0_7.tsv
en-present-en-verb-ysokfOw7	stage%2:36:00::	LINK:2-sig	Sa:j=0.40+Sb:stage+Se:0.686	linker-v0.6:link_table_v0_7.tsv
en-present-en-verb-fLHgLgaJ	present%2:40:00::	LINK:2-sig	Sa:j=0.40+Sb:gift,give+Se:0.546	linker-v0.6:link_table_v0_7.tsv
en-bear-en-noun-jJQM~6yd	bear%1:18:00::	LINK:2-sig	Sa:j=0.25+Sd:hyp=investor+Se:0.776	linker-v0.6:link_table_v0_7.tsv
en-bear-en-verb-GwY8Ul5v	tolerate%2:31:00::	twin-pending	best-cand-twinned;tsv-cefr=B2,C2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-bear-en-verb-en:convey	bear%2:35:00::	LINK:judge-v2	Sd:hyp=carry+judge-v2:idx15:3/3:bear%2:35:00::	judge-v2:judge_verdicts_v0_7.json:idx15
en-bear-en-verb-en:convey1	bear%2:35:00::	LINK:judge-v2	Sd:hyp=carry+judge-v2:idx17:3/3:bear%2:35:00::	judge-v2:judge_verdicts_v0_7.json:idx17
en-bear-en-verb-en:convey1	wear%2:29:04::	LINK:judge-v2	Sb:wear+judge-v2:idx22:3/3:wear%2:29:04::	judge-v2:judge_verdicts_v0_7.json:idx22
en-bear-en-verb-en:convey1	bear%2:35:00::	LINK:judge-v2	Sd:hyp=carry+judge-v2:idx17:3/3:bear%2:35:00::	judge-v2:judge_verdicts_v0_7.json:idx17
